customer_id,name,email,signup_date,country
1,Allison Hill,jillrhodes@miller.com,2023-12-18,Macedonia
2,Kristina Baldwin,shaneramirez@gmail.com,2025-01-30,Sri Lanka
3,Jay Ramirez,curtis61@abbott-munoz.com,2025-01-07,Kuwait
4,Valerie Gray,barbara10@hotmail.com,2023-12-15,Sierra Leone
5,Bobby Hall,oramirez@martin-kelly.com,2024-12-17,Vietnam
6,Andrea Reid,stevennelson@watts.com,2023-12-15,Swaziland
7,Ethan Adams,jason76@ellis.net,2024-08-12,Estonia
8,Jessica Silva,wendytaylor@yahoo.com,2023-08-30,Saudi Arabia
9,Brian Burton,cruzcaitlin@yahoo.com,2024-08-04,El Salvador
10,Shannon Smith,kayla51@graham-chavez.com,2024-07-13,Serbia
11,Thomas Harrell,ericfarmer@hotmail.com,2025-02-14,Uzbekistan
12,April Nguyen,hickmannatasha@allen-allen.org,2023-08-21,Belize
13,Rose Spence,donnaarroyo@baker.biz,2023-12-02,Vanuatu
14,Monica Harris,pcarney@yahoo.com,2024-05-26,United Arab Emirates
15,Barbara Walker,chapmanjerry@gmail.com,2023-06-26,Barbados
16,Amy Jones,chad34@washington.org,2024-09-10,Lebanon
17,John Russell,hopkinsmichael@owens-daniel.com,2023-08-07,Iraq
18,Rebecca Rodriguez,amandataylor@ramirez.com,2024-05-30,Sri Lanka
19,Krista Williams,housemelinda@russell.com,2025-04-22,Iran
20,Carmen Smith,sara74@yahoo.com,2024-12-13,Saint Martin
21,Kristi Higgins MD,tanyariley@hotmail.com,2023-08-07,San Marino
22,Anthony Woods,yuchristopher@jones.com,2024-04-29,British Indian Ocean Territory (Chagos Archipelago)
23,Laura Riley,barnesbrandy@stewart.com,2023-12-23,Estonia
24,Michael Evans,smithchristine@hotmail.com,2023-09-06,Barbados
25,Katie Anderson,suarezmike@gmail.com,2024-05-26,Syrian Arab Republic
26,Elizabeth Riggs,sarah12@wilson-rodriguez.net,2023-10-19,Faroe Islands
27,Daniel Cooper,dking@gmail.com,2024-10-25,Jamaica
28,Amanda Cook,evan78@patterson.com,2024-08-17,Argentina
29,Lauren Hernandez,parkerrachel@nolan.com,2024-11-20,Bosnia and Herzegovina
30,Justin Baxter,michellecherry@keith.com,2025-01-13,Uzbekistan
31,Timothy Pham,erik16@garrison.com,2025-03-16,Uruguay
32,Eric Pope,andrewlee@ramirez-jones.com,2024-03-19,Norway
33,Meghan Anthony,wilsontara@gmail.com,2024-09-13,Estonia
34,Kyle Reed,gobrien@gmail.com,2024-04-15,United Arab Emirates
35,Dawn Fletcher,michaeljones@mccall.com,2024-12-31,United Arab Emirates
36,Eric Ortiz,angela36@hotmail.com,2025-06-20,Hong Kong
37,Stephanie Gilbert,akelley@yahoo.com,2024-01-29,Cote d'Ivoire
38,Kevin Pena,nramos@hotmail.com,2024-06-22,South Africa
39,Rebecca Jackson,zachary95@cardenas.com,2023-12-12,Sri Lanka
40,Alexander Sanchez,gibsonolivia@hotmail.com,2023-11-19,Saint Barthelemy
41,Kathleen Sanchez,osbornejeffery@holmes.com,2024-06-09,Burkina Faso
42,Mary Travis,usalazar@hotmail.com,2024-05-17,Switzerland
43,Jill Moore,pgreen@hotmail.com,2024-01-22,Seychelles
44,Kari Allen,reevesjimmy@yahoo.com,2024-02-24,Uganda
45,Brenda Hall,calebrussell@owens.biz,2025-05-23,Sierra Leone
46,Melissa Gates,wsmith@yahoo.com,2025-01-26,Iceland
47,Tiffany Barnes,brobinson@johnson-rogers.biz,2025-01-03,Chad
48,Tamara Hooper,qvargas@miller.com,2025-04-24,Kyrgyz Republic
49,David Murphy,matthew64@yahoo.com,2024-01-02,Syrian Arab Republic
50,Alec Ryan,debraharrington@hotmail.com,2023-07-22,Saudi Arabia
51,David Combs,davidcaldwell@gould.com,2023-10-29,Netherlands
52,Nicole Wilson,daniel04@byrd.com,2023-08-19,Namibia
53,Lori Garcia,hoganashlee@gmail.com,2024-03-16,Marshall Islands
54,Jacob Hunter,atkinsonlynn@gmail.com,2024-05-22,Guyana
55,Sandra Zimmerman,jessicasheppard@yahoo.com,2024-10-11,Sri Lanka
56,Patricia Marshall,melissa14@yahoo.com,2023-12-27,Sao Tome and Principe
57,Leonard Gray,lrosales@lewis-salinas.com,2024-01-24,Turkmenistan
58,Sheryl Peters,allenrichard@chang.info,2024-06-03,Somalia
59,Edward Sullivan,elizabeth57@schmidt.com,2024-03-20,Reunion
60,Eric Hall,david82@robinson.com,2025-01-03,Myanmar
61,Kelly Campbell,kennethward@smith-ferguson.com,2023-07-26,Austria
62,Melissa Martinez,salasaudrey@yahoo.com,2024-06-26,Kazakhstan
63,Vincent King,shortrichard@gmail.com,2024-09-11,Niue
64,Brittany Shepherd,mcknightdavid@yahoo.com,2024-10-03,Nauru
65,Courtney Mills,levans@yahoo.com,2024-02-13,Mongolia
66,Lisa Singh,josephmiller@thompson.com,2023-06-23,Ireland
67,Kirk Carter,jasmine71@hall.org,2024-11-15,Spain
68,Jessica Stephens,margaret10@sparks.org,2025-06-05,France
69,John Torres,vincent77@gmail.com,2024-09-27,Armenia
70,Morgan Munoz,perezemily@matthews.com,2024-09-10,Armenia
71,Casey Stone,howard96@hotmail.com,2025-03-14,Liechtenstein
72,Julie Ortiz,hodgemark@hotmail.com,2024-07-09,France
73,Jennifer Hodges,qmiller@wilson-barton.net,2025-03-22,Afghanistan
74,Kimberly Gutierrez,cindy77@harris.com,2025-06-10,France
75,Michael Martinez,lancesmith@davis-gay.com,2024-06-13,Yemen
76,Ronnie Jimenez,robert77@gmail.com,2024-06-09,Mexico
77,Connor Greene,hillkristy@morgan-french.com,2025-03-19,Afghanistan
78,Edwin Matthews,seanwashington@yahoo.com,2024-08-22,Serbia
79,Jordan Morris,ashleyhall@williams-garner.biz,2024-04-15,Panama
80,Marissa Hernandez,waynelawrence@sawyer.com,2024-08-02,United States Minor Outlying Islands
81,Nathan Ortiz,harrisontanya@hanson-sanders.com,2025-04-12,Greenland
82,Shannon James,cbrennan@hotmail.com,2023-08-13,Dominica
83,Tammie Bright,wgood@padilla.com,2025-05-22,Antarctica (the territory South of 60 deg S)
84,Robert Carter,hthomas@yahoo.com,2024-09-02,Pitcairn Islands
85,Carolyn Miller,tyleraguilar@gmail.com,2024-06-13,Northern Mariana Islands
86,David Smith,erica21@yahoo.com,2024-03-15,Myanmar
87,Victor Vaughn,james67@gmail.com,2023-12-22,Hong Kong
88,Laura Haney,spencedominique@yahoo.com,2023-06-27,Monaco
89,Paula Beltran,kimberly39@yahoo.com,2023-12-08,Norfolk Island
90,David Campos,bergerdebbie@kramer-johnson.com,2025-01-09,Bulgaria
